code,name,price,trend,momentum,volatility,volume,sr,pattern,sentiment,raw,adj,final,zone,action,weekly_raw,g5,g10,ext,rsi,dist_flags,mct,sector,mcap,avgvol
VESTF,Corporación Inmobiliaria Vesta S.A.B. de C.V,3.95,17,10,7,17,6,8,4,69,-1.0,73.0,Strong,Enter w/ confidence,0,2.6,2.6,2.4,71.7,0,,Real Estate,1518225664.0,0.0
CVALF,Covalon Technologies Ltd,1.55,17,14,11,8,8,6,3,67,2.0,72.0,Strong,Enter w/ confidence,58,1.3,4.7,2.4,58.0,0,,Healthcare,43084196.0,8491.01
LPFCX,ALPS/RED ROCKS LISTED PRIVATE EQUITY FUND CLASS C,4.36,15,12,11,7,6,9,5,65,2.0,72.0,Strong,🔥 COILED: Enter w/ confidence,41,2.1,2.1,1.6,58.1,0,,nan,0.0,0.0
SPSTY,Singapore Post Ltd ADR,5.47,15,10,13,16,4,4,5,67,0.0,72.0,Strong,Enter w/ confidence,49,4.6,4.6,4.1,66.7,0,,Industrials,559727168.0,0.0
LPERX,ALPS/RED ROCKS LISTED PRIVATE EQUITY FUND CLASS R,3.37,15,10,11,7,6,11,4,64,2.0,71.0,Strong,🔥 COILED: Enter w/ confidence,41,1.8,2.1,1.5,57.6,0,,nan,0.0,0.0
PRDSF,Prada S.p.A,5.01,16,8,10,12,8,6,4,64,2.0,71.0,Strong,🔥 COILED: Enter w/ confidence,48,2.2,0.2,1.2,54.3,0,,Consumer Cyclical,12319345664.0,0.0
TCLHF,TCL Electronics Holdings Limited,1.96,16,14,9,9,6,7,5,66,2.0,68.0,Moderate,Enter w/ caution,54,5.4,10.7,5.9,59.7,2,,Technology,5041635840.0,1827.02
ELCPF,EDP - Energias de Portugal S.A,5.18,18,13,10,7,4,6,3,61,4.0,68.0,Moderate,Enter w/ caution,50,5.5,-0.6,3.0,56.1,0,,Utilities,20090859520.0,0.0
GOGO,Gogo Inc,3.99,15,14,9,12,4,7,5,66,1.0,67.0,Moderate,Enter w/ caution,35,13.7,12.7,9.6,63.5,2,,Communication Services,557182720.0,2066042.14
GLBXF,Globex Mining Enterprises Inc,1.405,14,14,6,7,5,7,5,58,2.0,65.0,Moderate,🔥 COILED: Enter w/ caution,31,5.6,7.3,3.7,54.7,0,,Basic Materials,82048088.0,41628.89
MOGU,MOGU Inc,2.01,8,14,6,15,4,2,5,54,2.0,64.0,Moderate,🔥 COILED: Enter w/ caution,24,5.2,3.1,3.8,53.3,0,,Consumer Cyclical,16837700.0,382380.88
DFITX,DFA International Real Estate Sec I,3.85,14,12,13,7,4,4,3,57,2.0,64.0,Moderate,🔥 COILED: Enter w/ caution,48,0.5,1.9,1.1,59.9,0,,nan,0.0,0.0
XIGRX,Voya Clarion Global Re Incm Fd,4.73,14,14,9,7,6,4,3,57,2.0,64.0,Moderate,🔥 COILED: Enter w/ caution,54,0.9,1.9,1.5,57.8,0,,Other,0.0,0.0
SFBQF,SoftBank Corp,1.4,16,12,11,13,4,3,5,64,1.0,63.0,Moderate,Enter w/ caution,37,4.0,8.1,7.0,58.7,1,,Communication Services,65487736832.0,42768.7
PERF,Perfect Corp.,1.93,17,6,7,14,7,4,5,60,2.0,63.0,Moderate,Enter w/ caution,61,0.0,0.0,4.0,76.7,0,,Technology,170087280.0,147853.18
NTCPF,NorthIsle Copper and Gold Inc,2.3,17,16,5,14,6,5,5,68,-3.0,63.0,Moderate,Enter w/ caution,58,12.7,4.8,7.3,58.0,1,,Basic Materials,703962368.0,438630.25
CRON,Cronos Group Inc,2.86,11,14,10,10,6,7,4,62,-2.0,63.0,Moderate,Enter w/ caution,66,2.1,4.0,3.0,60.6,0,,Healthcare,1046253696.0,1988482.88
XNROX,Neuberger Berman Real Estate Securities Income Fd Inc,3.35,16,12,12,7,4,2,3,56,2.0,63.0,Moderate,🔥 COILED: Enter w/ caution,54,0.9,1.2,1.2,57.7,0,,Other,0.0,0.0
CXE,MFS High Income Municipal Closed Fund,4.1,18,11,4,15,6,7,5,66,-3.0,63.0,Moderate,Enter w/ caution,70,12.3,13.3,10.3,78.4,2,,Financial Services,115857208.0,89379.64
PBRIX,FEDERATED PRUDENT BEAR FUND INSTITUTIONAL SHARES,3.72,14,12,9,7,4,7,3,56,2.0,63.0,Moderate,🔥 COILED: Enter w/ caution,38,0.8,1.9,1.2,57.6,0,,nan,0.0,0.0
XNET,Xunlei Ltd Adr,5.79,10,14,9,11,4,4,5,57,2.0,63.0,Moderate,Enter w/ caution,40,-1.4,1.9,2.2,53.9,0,,Technology,289942976.0,429751.96
CRDOF,Cerrado Gold Inc,1.29,15,14,9,13,4,7,5,67,-3.0,62.0,Moderate,Enter w/ caution,55,6.6,7.5,6.0,59.4,1,,Basic Materials,181807472.0,236126.35
TAIT,Taitron Components Incorporated,1.73,16,10,5,14,6,4,5,60,2.0,62.0,Moderate,Enter w/ caution,48,-0.3,4.2,4.0,56.5,1,,Technology,9393040.0,171931.82
MNTK,Montauk Renewables Inc,1.9,17,10,6,16,7,7,5,68,-7.0,62.0,Moderate,Enter w/ caution,56,19.5,15.2,12.2,68.2,2,,Basic Materials,241979936.0,273950.44
DSITF,Dixons Carphone plc,2.17,17,7,8,14,6,6,4,62,-3.0,62.0,Moderate,Enter w/ caution,65,2.8,4.3,2.7,73.4,0,,Consumer Cyclical,2045115136.0,0.0
ZIP,Ziprecruiter Inc,4.25,14,10,12,14,6,6,5,67,-5.0,62.0,Moderate,Enter w/ caution,56,6.5,7.6,9.0,63.9,2,,Communication Services,270654880.0,1071787.11
FCGBX,TEMPLETON GLOBAL BALANCED FUND CLASS C,3.15,13,12,11,7,6,2,4,55,2.0,62.0,Moderate,🔥 COILED: Enter w/ caution,59,0.6,0.6,0.9,59.4,0,,nan,0.0,0.0
TCINX,TEMPLETON GLOBAL BALANCED FUND CLASS C1,3.17,13,12,11,7,6,2,4,55,2.0,62.0,Moderate,🔥 COILED: Enter w/ caution,64,0.6,0.6,0.8,59.0,0,,nan,0.0,0.0
SGAMY,Sega Sammy Holdings Inc ADR,3.96,15,12,6,15,6,4,5,63,1.0,62.0,Moderate,Enter w/ caution,40,3.7,6.5,6.0,62.7,1,,Communication Services,3040475648.0,7039.77
ANTX,AN2 Therapeutics Inc,4.93,16,14,7,12,7,7,2,65,-3.0,62.0,Moderate,Enter w/ caution,56,2.7,8.4,3.4,56.8,2,,Healthcare,150187392.0,517857.7
SFGYY,Sony Financial Group Inc.,4.88,14,15,7,15,6,2,5,64,0.0,62.0,Moderate,Enter w/ caution,59,3.2,6.1,4.9,65.5,0,,Financial Services,5755847168.0,0.0
NQCCX,NUVEEN NWQ LARGE-CAP VALUE FUND CLASS C,4.75,15,12,13,7,6,9,4,66,-9.0,62.0,Moderate,🔥 COILED: Enter w/ caution,58,1.5,1.3,1.1,60.4,0,,nan,0.0,0.0
RSKD,Riskified Ltd,5.25,15,9,11,14,6,6,4,65,-1.0,62.0,Moderate,Enter w/ caution,60,0.2,0.6,2.8,58.6,1,,Technology,692813376.0,682449.56
PCSV,Pcs Edventures Com,1.7,16,16,9,9,8,0,5,63,-2.0,61.0,Moderate,Enter w/ caution,51,1.8,9.7,4.9,68.3,1,,Consumer Defensive,16355240.0,6191.48
