code,name,price,trend,momentum,volatility,volume,sr,pattern,sentiment,raw,adj,final,zone,action,weekly_raw,g5,g10,ext,rsi,dist_flags,mct,sector,mcap,avgvol
RLLWF,Reliance Worldwide Corporation Limited,3.2,16,9,13,16,6,3,4,67,3.0,78.0,Strong,Enter w/ confidence,66,0.3,0.3,4.5,65.0,0,,Industrials,1645685376.0,0.0
CCGPY,C&C Group plc,4.258,15,8,12,17,6,4,5,67,-1.0,71.0,Strong,Enter w/ confidence,45,11.5,11.5,8.7,72.9,2,,Consumer Defensive,448139648.0,886.57
OFS,OFS Capital Corp,3.99,16,6,8,16,7,8,5,66,3.0,69.0,Moderate,Enter w/ caution,51,3.4,3.4,4.5,63.5,1,,Financial Services,45553468.0,86188.6
GNRV,Grand River Commerce Inc,5.33,13,14,10,9,8,7,3,64,2.0,69.0,Moderate,Enter w/ caution,49,1.5,2.5,1.1,55.9,1,,Financial Services,29915428.0,3200.44
DRTSW,Alpha Tau Medical Ltd. Warrant,4.16,14,10,10,17,7,4,5,67,-1.0,67.0,Moderate,Enter w/ caution,59,8.6,20.6,7.6,57.0,2,,nan,nan,33571.08
PINWF,Pinnacle Renewable Energy Inc,5.994,15,5,9,12,6,11,5,63,1.0,67.0,Moderate,Enter w/ caution,52,4.2,2.5,3.0,67.3,0,,Technology,379821664.0,1324.9
PDGNF,Pendragon PLC,5.994,15,6,7,13,6,11,5,63,1.0,67.0,Moderate,Enter w/ caution,55,4.2,1.1,3.0,66.8,0,,Consumer Cyclical,376251488.0,1247.4
RTOXF,Rotork plc,6.7,14,5,10,15,6,11,5,66,1.0,67.0,Moderate,Enter w/ caution,57,1.5,4.4,3.9,67.0,0,,Industrials,3009803264.0,0.0
PBRIX,FEDERATED PRUDENT BEAR FUND INSTITUTIONAL SHARES,3.68,15,12,13,9,4,7,5,65,-3.0,67.0,Moderate,🔥 COILED: Enter w/ caution,40,1.1,1.1,1.4,59.8,0,,nan,0.0,0.0
QXL,Quantum X Labs Inc.,5.16,15,16,9,14,4,3,5,66,-6.0,65.0,Moderate,Enter w/ caution,56,14.2,7.3,10.5,59.6,2,,Technology,60547220.0,59469.67
PBRCX,FEDERATED PRUDENT BEAR FUND CLASS C SHARES,2.84,14,10,13,9,4,7,5,62,-3.0,64.0,Moderate,🔥 COILED: Enter w/ caution,40,1.1,1.1,1.3,58.6,0,,nan,0.0,0.0
TLIH,Ten-League International Holdings Limited Ordinary Shares,5.9,13,12,9,15,6,11,5,71,-5.0,64.0,Moderate,Enter w/ caution,58,3.5,0.8,2.3,61.6,1,,Industrials,11291270.0,263970.17
TELFY,"Telefónica, S.A.",4.24,13,12,7,12,7,7,4,62,-1.0,64.0,Moderate,🔥 COILED: Enter w/ caution,40,3.2,1.7,1.1,54.6,2,,Communication Services,25539770368.0,794203.4
HSDT,Helius Medical Technologies Inc Class A,2.3,12,12,5,16,6,2,5,58,4.0,63.0,Moderate,Enter w/ caution,56,4.5,10.0,7.1,59.0,2,,Financial Services,70647880.0,650327.02
WRFRF,Wharf Real Estate Investment Company Limited,4.15,15,8,12,10,6,2,4,57,1.0,63.0,Moderate,🔥 COILED: Enter w/ caution,59,0.0,0.0,1.7,66.2,1,,Real Estate,8805059584.0,0.0
PGEN,Precigen Inc,7.435,15,12,10,9,6,7,5,64,-2.0,63.0,Moderate,Enter w/ caution,65,9.3,8.4,7.3,63.4,2,,Healthcare,1376132352.0,5100722.44
CXE,MFS High Income Municipal Closed Fund,4.1,18,11,4,15,6,7,5,66,-3.0,63.0,Moderate,Enter w/ caution,70,12.3,13.3,10.3,78.4,2,,Financial Services,115857208.0,89379.64
VYAXX,Voya Funds Trust - Government Money Market Fund Series II,1.0,18,12,4,8,6,4,4,56,1.0,62.0,Moderate,🔥 COILED: Enter w/ caution,53,0.0,0.0,0.0,64.9,0,,nan,nan,0.0
MGIH,Millennium Group International Holdings Limited Ordinary Shares,1.58,15,12,10,9,6,3,5,60,-1.0,62.0,Moderate,🔥 COILED: Enter w/ caution,51,3.3,4.6,2.4,54.1,2,,Consumer Cyclical,15862500.0,508678.61
NRDE,Nu Ride Inc,1.8,13,10,8,16,5,5,5,62,-3.0,62.0,Moderate,Enter w/ caution,43,5.9,5.3,4.2,55.3,2,,Financial Services,28812370.0,17426.63
GLBS,Globus Maritime Ltd,3.8,16,12,10,12,6,3,5,64,-3.0,62.0,Moderate,Enter w/ caution,62,7.0,-0.5,5.0,58.9,1,,Industrials,45754472.0,118808.53
HLICF,HLICF,2.562,13,7,11,7,6,6,4,54,0.0,62.0,Moderate,🔥 COILED: Enter w/ caution,47,0.0,0.0,0.1,54.5,0,,nan,299755264.0,2.5
AMBO,Ambow Education Holding Ltd,2.145,12,11,11,13,4,6,5,62,-1.0,62.0,Moderate,Enter w/ caution,33,7.3,5.7,3.5,55.2,0,,Consumer Defensive,7179408.0,124148.93
CRON,Cronos Group Inc,3.29,13,11,4,11,8,7,5,59,2.0,62.0,Moderate,Enter w/ caution,66,4.3,-2.7,2.0,56.6,0,,Healthcare,1046253696.0,1988482.88
CARD,MAX™ Auto Industry -3X Inverse Leveraged ETNs,2.65,15,12,12,14,4,4,5,66,-2.0,62.0,Moderate,Enter w/ caution,41,9.7,9.5,10.3,62.8,1,,nan,nan,21015.43
RADLY,Raia Drogasil SA ADR,3.844,12,11,2,18,7,0,5,55,-1.0,62.0,Moderate,Enter w/ caution,53,1.4,1.6,2.3,55.3,0,,Healthcare,5979994112.0,19503.0
ACOPY,The A2 Milk Company Ltd,5.01,13,15,6,8,8,3,5,58,1.0,62.0,Moderate,Enter w/ caution,47,4.2,5.3,3.6,61.0,0,,Consumer Defensive,2771128064.0,808.3
PCCYF,PetroChina Co Ltd Class H,1.3,10,11,7,12,9,0,5,54,2.0,61.0,Moderate,🔥 COILED: Enter w/ caution,47,0.0,0.0,2.7,54.7,0,,Energy,332594642944.0,60165.28
SNDL,SNDL Inc.,1.38,12,14,7,13,6,4,5,61,-3.0,61.0,Moderate,Enter w/ caution,38,-1.4,1.5,1.6,54.7,1,,Consumer Defensive,372228992.0,2646305.36
HERE,Here Group Limited,1.88,8,8,9,15,4,6,5,55,0.0,61.0,Moderate,🔥 COILED: Enter w/ caution,22,1.1,1.6,0.2,49.9,0,,Consumer Cyclical,119102312.0,294601.91
TXMD,TherapeuticsMD Inc,2.18,14,12,5,13,4,3,5,56,4.0,61.0,Moderate,Enter w/ caution,66,2.8,0.5,1.3,54.9,0,,Healthcare,23148724.0,105907.79
DSX,Diana Shipping Inc.,2.99,15,9,6,14,7,4,5,60,1.0,61.0,Moderate,Enter w/ caution,57,2.4,8.7,5.5,68.7,1,,Industrials,294029184.0,607667.89
CLPR,Clipper Realty Inc,3.42,14,12,6,15,6,2,5,60,1.0,61.0,Moderate,Enter w/ caution,46,1.2,5.2,4.3,60.8,1,,Real Estate,134645632.0,72100.32
XGN,Exagen Inc,7.78,17,12,11,12,6,2,5,65,-4.0,61.0,Moderate,Enter w/ caution,66,6.4,9.3,7.7,64.5,2,,Healthcare,115725632.0,384473.45
SOPH,Sophia Genetics SA,7.975,13,13,5,12,7,4,5,59,-3.0,61.0,Moderate,🔥 COILED: Enter w/ caution,66,3.8,-5.3,0.5,53.3,2,,Healthcare,356080224.0,124125.85
CYH,Community Health Systems Inc,2.98,8,13,9,10,4,7,4,55,2.0,60.0,Moderate,Enter w/ caution,38,1.0,1.7,1.4,53.0,1,,Healthcare,393157600.0,1748450.66
BNDSF,Banco de Sabadell S.A,4.32,14,7,9,14,6,4,5,59,-2.0,60.0,Moderate,Enter w/ caution,64,0.0,2.9,3.9,66.6,0,,Financial Services,16877633536.0,0.0
QUBHF,Qube Holdings Limited,3.485,12,7,11,8,6,4,4,52,0.0,60.0,Moderate,🔥 COILED: Enter w/ caution,49,0.0,0.0,0.0,54.1,0,,Industrials,6910147072.0,1163.84
GSNR,Grayscale Near Trust,6.89,18,13,4,14,6,7,5,67,-5.0,60.0,Moderate,Enter w/ caution,54,9.6,56.4,28.4,62.9,2,,nan,nan,0.0
CIF,MFS Intermediate High Income Closed Fund,1.77,16,9,5,10,6,11,5,62,-3.0,59.0,Moderate,Enter w/ caution,58,9.3,9.9,8.7,76.8,1,,Financial Services,45563000.0,55151.02
JRSH,Jerash Holdings US Inc,5.61,17,11,3,8,6,4,5,54,4.0,59.0,Moderate,Enter w/ caution,50,4.9,1.6,5.0,59.3,0,,Consumer Cyclical,44068792.0,112809.83
JVA,Coffee Holding Co Inc,4.14,18,6,7,17,7,4,5,64,-3.0,59.0,Moderate,Enter w/ caution,47,20.7,20.7,12.9,75.7,2,,Consumer Defensive,25688700.0,73256.98
FSCO,FS Credit Opportunities Corp.,5.24,13,7,10,13,7,2,5,57,1.0,59.0,Moderate,Enter w/ caution,54,-0.4,1.0,1.0,61.1,0,,Financial Services,993143936.0,1592433.38
VSTKF,VNV Global AB (publ),1.97,14,7,10,7,4,7,4,53,-3.0,58.0,Moderate,🔥 COILED: Enter w/ caution,42,0.0,0.0,0.1,54.4,1,,Financial Services,254093104.0,467.68
