code,name,price,trend,momentum,volatility,volume,sr,pattern,sentiment,raw,adj,final,zone,action,weekly_raw,g5,g10,ext,rsi,dist_flags,mct,sector,mcap,avgvol
NNUP,Nocopi Technologies Inc,1.75,17,12,10,17,4,8,5,73,-1.0,78.0,Strong,Enter w/ confidence,66,4.2,1.7,3.4,59.4,1,,Basic Materials,20883220.0,2902.64
AUNA,Auna S.A.,5.42,16,12,9,16,7,6,5,71,2.0,76.0,Strong,Enter w/ confidence,52,1.5,5.7,3.6,59.8,0,,Healthcare,328810080.0,266329.44
ORMP,Oramed Pharmaceuticals Inc,4.78,17,13,8,15,6,4,5,68,0.0,69.0,Moderate,Enter w/ caution,70,12.5,7.2,10.3,68.4,0,,Healthcare,151835760.0,174728.4
CTW,CTW Cayman Class A Ordinary Shares,2.74,17,10,9,15,8,3,5,67,1.0,68.0,Moderate,Enter w/ caution,68,5.8,14.2,7.6,61.7,2,,Communication Services,143520000.0,98477.86
MNGPF,Man Group plc,4.06,15,7,11,13,6,6,4,62,1.0,66.0,Moderate,Enter w/ caution,55,0.0,0.0,2.6,62.3,0,,Financial Services,4358557696.0,0.0
AHT-P-F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,6.94,15,13,9,14,6,4,5,66,0.0,66.0,Moderate,Enter w/ caution,51,9.8,11.0,7.8,57.6,2,,Other,nan,6172.87
MNTK,Montauk Renewables Inc,1.84,16,9,9,14,5,7,5,65,0.0,65.0,Moderate,Enter w/ caution,48,1.7,8.2,3.2,57.1,1,,Basic Materials,241979936.0,273950.44
ABUS,Arbutus Biopharma Corp,4.84,13,12,7,14,8,6,5,65,0.0,65.0,Moderate,Enter w/ caution,64,3.6,9.5,5.3,61.3,1,,Healthcare,839535296.0,1630167.49
LUNA,Luna Innovations Incorporated,1.32,16,9,11,14,6,9,5,70,-7.0,64.0,Moderate,Enter w/ caution,64,3.9,1.5,3.9,65.3,1,,Technology,52045528.0,47286.67
DRAFX,Destinations Real Assets Fund,2.8,17,8,10,7,3,11,3,59,0.0,64.0,Moderate,🔥 COILED: Enter w/ caution,55,0.4,1.1,0.5,59.6,0,,nan,0.0,0.0
AHT-PF,Ashford Hospitality Trust Inc,6.94,17,13,9,15,6,4,5,69,-5.0,64.0,Moderate,Enter w/ caution,51,9.8,9.1,7.6,57.7,2,,Real Estate,102808168.0,5966.87
CCC,CCC Intelligent Solutions Holdings Inc.,7.14,15,10,5,16,6,6,5,63,-2.0,64.0,Moderate,Enter w/ caution,56,3.9,12.8,9.2,67.6,2,,Technology,2928833280.0,9649676.15
MNOV,MediciNova Inc,1.34,10,18,10,7,8,4,3,60,-3.0,63.0,Moderate,🔥 COILED: Enter w/ caution,25,1.5,3.1,0.7,51.5,1,,Healthcare,64972048.0,346563.01
KPRX,Kiora Pharmaceuticals Inc,2.59,15,12,10,15,5,3,3,63,-3.0,63.0,Moderate,🔥 COILED: Enter w/ caution,57,-1.1,4.9,0.6,51.8,2,,Healthcare,11496453.0,185673.01
SABS,SAB Biotherapeutics Inc,3.79,12,12,8,13,9,3,4,61,-1.0,63.0,Moderate,🔥 COILED: Enter w/ caution,54,0.8,-1.6,1.6,54.0,1,,Healthcare,259970272.0,466001.61
FWDI,"Forward Industries, Inc.",4.54,13,14,12,13,4,7,4,67,-4.0,63.0,Moderate,Enter w/ caution,39,6.1,7.6,6.9,57.6,1,,Consumer Cyclical,315148288.0,819638.03
CXE,MFS High Income Municipal Closed Fund,4.1,18,11,4,15,6,7,5,66,-3.0,63.0,Moderate,Enter w/ caution,70,12.3,13.3,10.3,78.4,2,,Financial Services,115857208.0,89379.64
CMHHF,China Merchants Port Holdings Company Limited,2.26,18,4,12,14,4,5,5,62,0.0,62.0,Moderate,Enter w/ caution,57,15.3,15.3,13.6,70.5,2,,Industrials,8941759488.0,8937.58
CRON,Cronos Group Inc,3.21,17,11,5,15,6,7,5,66,-2.0,62.0,Moderate,Enter w/ caution,62,4.2,14.2,7.1,68.7,2,,Healthcare,1046253696.0,1988482.88
MDXG,MiMedx Group Inc,4.34,12,14,9,15,6,1,3,60,4.0,62.0,Moderate,Enter w/ caution,49,0.5,1.6,2.5,56.4,1,,Healthcare,563014848.0,1055203.36
SMHB,ETRACS 2xMonthly Pay Leveraged US Small Cap High Dividend ETN,4.13,16,10,7,13,5,8,2,61,-4.0,62.0,Moderate,🔥 COILED: Enter w/ caution,60,1.6,1.3,0.7,52.4,0,,nan,nan,24173.0
GSOL,Grayscale Solana Trust ETF,5.84,13,14,9,12,4,8,2,62,-1.0,62.0,Moderate,Enter w/ caution,34,2.1,4.1,2.6,55.6,1,,nan,nan,1024932.29
HSDT,Helius Medical Technologies Inc Class A,1.78,11,14,11,7,4,5,3,55,2.0,61.0,Moderate,Enter w/ caution,35,2.3,7.2,3.9,54.8,0,,Financial Services,70647880.0,650327.02
BLUGF,BLUGF,1.64,10,16,9,11,3,2,4,55,2.0,61.0,Moderate,Enter w/ caution,0,-1.2,2.6,2.6,51.6,1,,nan,nan,0.0
ISPC,iSpecimen Inc,2.34,12,12,7,16,3,7,4,61,-3.0,61.0,Moderate,Enter w/ caution,52,2.6,8.8,5.9,53.8,2,,Healthcare,4570159.0,379532.01
FTEMUX,FTEMUX,3.315,17,8,8,8,6,7,3,57,1.0,61.0,Moderate,Enter w/ caution,34,0.1,0.0,0.1,62.3,0,,nan,nan,0.0
BAMIF,Blue Ant Media Corporation,3.87,16,11,9,14,5,5,4,64,-1.0,61.0,Moderate,Enter w/ caution,0,5.2,4.6,3.8,56.0,0,,Communication Services,111428744.0,0.0
IVFCX,FEDERATED INTERNATIONAL STRATEGIC VALUE DIVIDEND FUND CLASS C SHARES,4.9,10,12,9,9,6,2,3,51,2.0,61.0,Moderate,🔥 COILED: Enter w/ caution,49,0.2,-0.2,0.2,52.6,0,,nan,0.0,0.0
IVFIX,FEDERATED INTERNATIONAL STRATEGIC VALUE DIVIDEND FUND INSTITUTIONAL SHARES,4.98,10,12,9,9,6,2,3,51,2.0,61.0,Moderate,🔥 COILED: Enter w/ caution,53,0.2,0.0,0.2,53.4,0,,nan,0.0,0.0
IVFAX,FEDERATED INTERNATIONAL STRATEGIC VALUE DIVIDEND FUND CLASS A SHARES,4.96,10,12,9,9,6,2,3,51,2.0,61.0,Moderate,🔥 COILED: Enter w/ caution,50,0.0,-0.2,0.1,52.1,0,,nan,0.0,0.0
IVFLX,FEDERATED INTERNATIONAL STRATEGIC VALUE DIVIDEND FUND CLASS R6 SHARES,4.97,10,12,9,9,6,2,3,51,2.0,61.0,Moderate,🔥 COILED: Enter w/ caution,53,0.2,0.0,0.2,53.4,0,,nan,0.0,0.0
HLICF,HLICF,2.562,13,7,10,7,6,6,3,52,0.0,60.0,Moderate,🔥 COILED: Enter w/ caution,53,0.0,0.0,1.0,54.5,0,,nan,299755264.0,2.5
GROW,US Global Investors Inc,3.2,18,8,7,15,6,8,5,67,-5.0,60.0,Moderate,Enter w/ caution,65,2.9,7.4,4.3,69.8,0,,Financial Services,33615372.0,43273.67
CENN,Cenntro Electric Group Ltd,3.54,11,13,10,14,3,5,4,60,-3.0,60.0,Moderate,Enter w/ caution,50,3.2,3.5,2.8,54.4,1,,Consumer Cyclical,6462643.0,64908.13
ELCPF,EDP - Energias de Portugal S.A,5.11,14,9,9,10,5,4,4,55,0.0,60.0,Moderate,🔥 COILED: Enter w/ caution,52,3.3,4.9,1.6,53.0,1,,Utilities,20090859520.0,0.0
IMPP,Imperial Petroleum Inc,5.05,16,14,9,11,5,2,5,62,-2.0,60.0,Moderate,Enter w/ caution,53,11.5,9.5,6.3,63.8,1,,Energy,230137520.0,672130.01
NUVB-WS,NUVB-WS,6.96,15,12,13,11,6,8,5,70,-10.0,60.0,Moderate,Enter w/ caution,68,9.3,8.1,9.3,62.4,1,,nan,nan,6239713.3
UBSFY,UbiSoft Entertainment Inc,1.23,16,12,4,15,5,6,4,62,-6.0,59.0,Moderate,🔥 COILED: Enter w/ caution,51,4.2,-0.8,3.2,53.9,1,,Communication Services,747698944.0,191873.9
CIF,MFS Intermediate High Income Closed Fund,1.77,16,9,5,10,6,11,5,62,-3.0,59.0,Moderate,Enter w/ caution,57,9.3,9.9,8.7,76.8,1,,Financial Services,45563000.0,55151.02
