code,name,price,trend,momentum,volatility,volume,sr,pattern,sentiment,raw,adj,final,zone,action,weekly_raw,g5,g10,ext,rsi,dist_flags,mct,sector,mcap,avgvol
DWSN,Dawson Geophysical Company,5.33,17,11,9,18,6,8,5,74,0.0,77.0,Strong,Enter w/ confidence,66,24.2,12.2,19.2,65.6,2,,Energy,136943024.0,97511.03
SMHB,ETRACS 2xMonthly Pay Leveraged US Small Cap High Dividend ETN,4.07,14,14,10,13,6,9,5,71,0.0,76.0,Strong,Enter w/ confidence,53,5.4,3.0,5.0,60.8,0,,nan,nan,24173.0
CRCT,Cricut Inc,4.63,17,12,6,15,6,9,5,70,3.0,76.0,Strong,Enter w/ confidence,49,3.8,3.6,5.9,64.9,0,,Technology,866881408.0,582560.28
KFFB,Kentucky First Federal Bancorp,5.25,17,11,8,18,6,7,5,72,0.0,75.0,Strong,Enter w/ confidence,69,2.9,9.6,9.3,64.2,1,,Financial Services,35662416.0,7808.57
GORO,Gold Resource Corporation,1.4,15,12,8,18,5,3,5,66,3.0,74.0,Strong,Enter w/ confidence,54,5.3,17.6,7.0,60.7,2,,Basic Materials,207218912.0,3294246.97
ASRV,AmeriServ Financial Inc,3.9,16,9,12,18,6,3,5,69,1.0,73.0,Strong,Enter w/ confidence,62,0.3,2.4,2.4,56.4,0,,Financial Services,64124932.0,17162.33
PRLD,Prelude Therapeutics Inc,4.38,14,13,7,18,6,4,5,67,-5.0,72.0,Strong,🔥 COILED: Enter w/ confidence,53,1.4,6.6,3.7,54.0,1,,Healthcare,324952832.0,701732.34
CCO,Clear Channel Outdoor Holdings Inc,2.43,18,14,11,15,6,12,5,81,-15.0,71.0,Strong,Enter w/ confidence,69,0.8,1.3,1.1,62.5,1,,Communication Services,1226650368.0,4953918.01
BDN,Brandywine Realty Trust,3.28,13,11,10,11,6,11,5,67,3.0,71.0,Strong,Enter w/ confidence,51,6.1,2.2,4.4,62.4,1,,Real Estate,541980928.0,3005449.97
CYH,Community Health Systems Inc,3.28,15,9,7,17,4,7,5,64,3.0,70.0,Strong,Enter w/ confidence,47,8.6,7.5,8.5,69.0,0,,Healthcare,393157600.0,1748450.66
EEIAX,EATON VANCE EMERGING MARKETS LOCAL INCOME FUND,3.58,15,12,8,9,8,7,5,64,2.0,69.0,Moderate,Enter w/ caution,53,0.6,1.4,0.7,57.4,0,,nan,0.0,0.0
LINJX,LORD ABBETT NEW JERSEY TAX-FREE INCOME FUND CLASS I,4.77,17,10,10,8,6,7,5,63,1.0,69.0,Moderate,🔥 COILED: Enter w/ caution,60,0.2,0.6,0.5,67.7,0,,nan,0.0,0.0
XRCSX,PIMCO Strategic Income Fund Inc,4.59,15,12,11,8,4,7,5,62,2.0,69.0,Moderate,🔥 COILED: Enter w/ caution,45,0.4,0.7,0.5,58.7,0,,Other,0.0,0.0
OBIO,Orchestra BioMed Holdings Inc.,4.24,15,11,10,17,4,5,5,67,-4.0,68.0,Moderate,Enter w/ caution,63,6.3,4.2,5.9,59.3,1,,Healthcare,231139552.0,248407.44
BYSI,BeyondSpring Inc,1.69,12,13,9,16,4,7,4,65,-1.0,67.0,Moderate,Enter w/ caution,49,5.0,2.4,3.9,55.9,1,,Healthcare,70314896.0,99011.27
OLPX,Olaplex Holdings Inc,2.06,15,8,10,15,6,7,5,66,-2.0,67.0,Moderate,Enter w/ caution,60,0.5,1.0,0.7,61.0,1,,Consumer Cyclical,1367758080.0,2610513.69
EVF,Eaton Vance Senior Income Closed Fund,4.98,15,12,8,8,5,7,5,60,2.0,67.0,Moderate,🔥 COILED: Enter w/ caution,35,0.2,0.0,0.1,51.4,0,,Financial Services,90124632.0,92496.1
CICHF,China Construction Bank Corp,1.12,14,13,2,14,9,7,5,64,-1.0,66.0,Moderate,🔥 COILED: Enter w/ caution,55,6.7,0.9,2.5,53.3,0,,Financial Services,269448380416.0,80685.16
CRON,Cronos Group Inc,2.81,15,14,7,8,8,3,4,59,4.0,66.0,Moderate,Enter w/ caution,66,3.7,2.2,3.5,58.4,1,,Healthcare,1046253696.0,1988482.88
XNROX,Neuberger Berman Real Estate Securities Income Fd Inc,3.32,18,10,4,9,6,7,5,59,2.0,66.0,Moderate,🔥 COILED: Enter w/ caution,51,2.8,0.6,1.3,57.1,0,,Other,0.0,0.0
SPRS,Surge Components Inc,3.6,15,5,11,9,6,11,5,62,1.0,66.0,Moderate,Enter w/ caution,61,0.8,3.2,1.7,60.0,1,,Technology,20237444.0,3183.52
ACCO,Acco Brands Corporation,4.21,17,13,10,14,6,8,5,73,-10.0,66.0,Moderate,Enter w/ caution,66,7.9,6.3,6.9,65.4,0,,Industrials,365340864.0,825834.7
ABUS,Arbutus Biopharma Corp,4.58,14,16,7,11,6,0,4,58,2.0,66.0,Moderate,Enter w/ caution,60,0.7,6.8,3.9,59.1,0,,Healthcare,839535296.0,1630167.49
RSKD,Riskified Ltd,5.06,14,14,10,14,6,11,5,74,-12.0,66.0,Moderate,Enter w/ caution,57,2.2,2.6,3.5,60.5,1,,Technology,692813376.0,682449.56
LANJX,LORD ABBETT NEW JERSEY TAX-FREE INCOME FUND CLASS A,4.76,17,6,12,8,6,6,5,60,1.0,66.0,Moderate,🔥 COILED: Enter w/ caution,58,0.2,0.4,0.4,69.5,0,,nan,0.0,0.0
TXMD,TherapeuticsMD Inc,2.11,15,17,3,9,9,4,5,62,2.0,65.0,Moderate,Enter w/ caution,57,8.2,15.9,2.7,53.5,2,,Healthcare,23148724.0,105907.79
PRPS,Propellus Inc,2.15,18,8,6,15,6,12,5,70,-5.0,65.0,Moderate,Enter w/ caution,55,2.9,9.9,5.6,78.6,2,,Financial Services,17542234.0,761.0
ADTGFX,ADTGFX,3.176,14,12,11,8,4,4,5,58,2.0,65.0,Moderate,🔥 COILED: Enter w/ caution,33,0.2,0.3,0.2,55.6,0,,nan,nan,0.0
