code,name,price,trend,momentum,volatility,volume,sr,pattern,sentiment,raw,adj,final,zone,action,weekly_raw,g5,g10,ext,rsi,dist_flags,mct,sector,mcap,avgvol
API,Agora Inc,4.46,19,12,12,17,8,3,5,76,0.0,77.0,Strong,Enter w/ confidence,63,11.5,15.8,9.2,67.8,2,,Technology,406684448.0,437501.02
CVALF,Covalon Technologies Ltd,1.62,16,13,7,16,6,9,5,72,3.0,76.0,Strong,Enter w/ confidence,65,3.2,5.2,4.1,66.6,0,,Healthcare,43084196.0,8491.01
BVENY,BVENY,3.97,17,6,11,13,6,8,5,66,2.0,76.0,Strong,🔥 COILED: Enter w/ confidence,0,0.0,0.0,1.2,49.1,0,,Energy,1851204224.0,0.0
NEPH,Nephros Inc,4.21,16,13,8,17,6,8,5,73,-2.0,76.0,Strong,Enter w/ confidence,60,24.2,15.7,17.0,67.2,2,,Healthcare,38975000.0,52035.42
BUR,Burford Capital Ltd,4.42,12,14,10,17,5,7,5,70,4.0,74.0,Strong,Enter w/ confidence,27,7.3,6.8,4.3,57.7,2,,Financial Services,974858368.0,2628322.54
PLX,Protalix Biotherapeutics Inc,2.46,17,14,11,14,7,11,3,77,-4.0,73.0,Strong,Enter w/ confidence,73,3.8,3.8,4.2,61.8,1,,Healthcare,161948992.0,914259.83
PYYX,Pyxus International Inc,3.5,16,10,8,16,8,3,5,66,2.0,71.0,Strong,Enter w/ confidence,67,4.5,0.3,1.5,56.1,0,,Consumer Defensive,67917504.0,4845.05
PTRUF,Petrus Resources Ltd,1.27,14,14,13,13,3,6,5,68,-1.0,70.0,Strong,Enter w/ confidence,35,2.4,0.8,3.9,58.3,0,,Energy,189193456.0,13359.56
GRNT,Granite Ridge Resources Inc,4.88,13,16,7,14,4,5,5,64,2.0,70.0,Strong,Enter w/ confidence,28,2.7,0.6,3.8,57.1,1,,Energy,658160960.0,724184.79
CPAMF,CapitaLand Integrated Commercial Trust,1.96,17,11,12,10,6,7,4,67,2.0,69.0,Moderate,Enter w/ caution,55,1.8,6.8,4.1,57.0,0,,Real Estate,14498737152.0,0.0
GROY-WT,Gold Royalty Corp,1.05,13,11,12,16,3,6,3,64,-1.0,68.0,Moderate,Enter w/ caution,38,23.5,17.4,11.7,55.8,2,,nan,nan,46491.35
KCDMF,Kimberly-Clark de México S. A. B. de C. V,2.32,16,8,13,13,9,3,5,67,1.0,68.0,Moderate,Enter w/ caution,51,3.1,3.6,2.9,63.1,0,,Consumer Defensive,6721901056.0,0.0
KPRX,Kiora Pharmaceuticals Inc,2.64,16,13,12,15,4,5,4,69,-1.0,68.0,Moderate,Enter w/ caution,66,3.1,3.5,3.2,57.5,1,,Healthcare,11496453.0,185673.01
TRVG,Trivago NV,5.62,15,14,4,13,7,11,5,69,-2.0,68.0,Moderate,Enter w/ caution,68,6.4,2.9,5.1,61.5,1,,Communication Services,303307584.0,51995.12
BULLW,Webull Corporation Warrants,2.5,15,15,8,14,7,3,4,66,0.0,67.0,Moderate,Enter w/ caution,63,11.6,8.7,5.5,55.6,1,,nan,nan,17366.61
HSCCX,EAGLE SMALL CAP GROWTH FUND CLASS C,3.26,17,12,5,9,8,8,3,62,2.0,67.0,Moderate,Enter w/ caution,54,5.2,4.2,2.3,57.3,0,,nan,0.0,0.0
IPMLF,Imperial Metals Corporation,6.09,14,9,11,15,6,9,5,69,-3.0,67.0,Moderate,Enter w/ caution,57,16.9,16.9,14.9,70.5,2,,Basic Materials,896201024.0,28784.84
LINK,Interlink Electronics Inc,5.1,16,14,7,17,8,3,5,70,-4.0,67.0,Moderate,Enter w/ caution,54,23.5,4.9,13.1,61.6,1,,Technology,82687536.0,104433.66
OABI,OmniAb Inc.,3.08,19,11,7,18,6,8,5,74,-13,66,Moderate,Enter w/ caution,70,55.6,51.7,41.0,80.5,4,10,Healthcare,360256832.0,541242.26
